Date;Open;High;Low;Close;Adj Close;Volume
17/04/19;53,16;53,799999;51,700001;52,25;38,024406;26483700
18/04/19;52,200001;52,970001;52,009998;52,580002;38,264565;10706000
22/04/19;51,950001;52;50,799999;51,299999;37,333054;16324700
23/04/19;51,59;51,919998;51,279999;51,919998;37,784252;9890800
24/04/19;51,549999;51,740002;50,16;50,360001;36,648979;19992800
25/04/19;50,23;50,43;49,380001;50,330002;36,627151;15916200
26/04/19;50,48;50,650002;49,52;50,419998;36,692642;10632700
29/04/19;50,939999;51,060001;50,119999;50,25;36,568924;8729200
30/04/19;50,220001;50,689999;49,759998;50,099998;36,459766;11371400
02/05/19;49,279999;49,279999;48,720001;48,939999;35,615585;15906200
03/05/19;49,450001;50,630001;49,389999;50,400002;36,678085;10614000
06/05/19;49,599998;49,75;49,09;49,66;36,139565;10437300
07/05/19;49,349998;49,700001;48,720001;49,700001;36,168671;15190600
08/05/19;49,82;50,139999;48,939999;49;35,659252;18474900
09/05/19;49;49,009998;48,049999;48,540001;35,324493;12456600
10/05/19;48,299999;49,799999;48,060001;49,459999;35,994015;25272300
13/05/19;48,529999;48,75;47,43;47,43;34,516701;18657700
14/05/19;48,18;48,349998;47,349998;47,59;34,633137;14183900
15/05/19;47,150002;48,450001;47,02;47,950001;34,895123;18447400
16/05/19;48,549999;48,93;45,82;46,400002;33,767128;49247900
17/05/19;46,400002;47,720001;46,299999;47,720001;34,727745;34079700
20/05/19;47,619999;47,740002;46,630001;46,75;34,021839;23909600
21/05/19;47,099998;47,959999;46,09;47,41;34,502144;32381300
22/05/19;47,779999;48,689999;47,369999;47,459999;34,538528;21087400
23/05/19;47,07;47,900002;46,419998;47,82;34,800514;15786300
24/05/19;48,639999;49,43;48,310001;48,310001;35,157112;24936500
27/05/19;49;50,25;48,900002;50,189999;36,525265;17281600
28/05/19;49,950001;50,950001;49,849998;50,25;36,568924;37041000
29/05/19;49,52;49,849998;49,150002;49,700001;36,168671;17842500
30/05/19;49,709999;50,130001;49,439999;50,009998;36,394272;12877800
31/05/19;49,509998;51;48,709999;49;35,659252;28857900
03/06/19;49,349998;49,599998;48,439999;48,830002;35,535538;22451600
04/06/19;49,18;49,349998;48,299999;49,110001;35,739304;19537300
05/06/19;49,279999;49,43;47,860001;48,389999;35,215332;14392200
06/06/19;48,889999;48,939999;48,310001;48,799999;35,513702;10869100
07/06/19;49,049999;49,099998;48,360001;48,66;35,411823;11626500
